iter	Logloss
0	0.6561628154
1	0.6267293146
2	0.6005962149
3	0.5743889312
4	0.550511439
5	0.5305816794
6	0.5130773111
7	0.4968647593
8	0.479411395
9	0.4649033095
10	0.4522794772
11	0.4407244265
12	0.4304858799
13	0.4191712869
14	0.4106962941
15	0.4008565761
16	0.3940040176
17	0.3875507414
18	0.3810982263
19	0.3741308536
20	0.369658484
21	0.3631382663
22	0.3578427344
23	0.3534718657
24	0.3492385875
25	0.3456318448
26	0.3408452414
27	0.3374669251
28	0.333531427
29	0.3308168734
30	0.3275231775
31	0.3250041058
32	0.3224804869
33	0.3202192863
34	0.3181374282
35	0.3161835752
36	0.3146722649
37	0.3122468674
38	0.3107293345
39	0.3074350537
40	0.3047655792
41	0.3026684946
42	0.3006578557
43	0.2993589202
44	0.2977029012
45	0.2968983873
46	0.2959207063
47	0.2951812056
48	0.2926599808
49	0.2913096532
50	0.2904204565
51	0.289612841
52	0.2874596128
53	0.2866526914
54	0.2842612417
55	0.2832472241
56	0.2820171087
57	0.280246174
58	0.2792246585
59	0.2782311451
60	0.2773372559
61	0.2762688782
62	0.2757320993
63	0.2749387489
64	0.2740397314
65	0.2733535345
66	0.2724293936
67	0.2720551093
68	0.271371698
69	0.2710623042
70	0.2706728935
71	0.2703386572
72	0.2696331607
73	0.2687030316
74	0.2677170725
75	0.2669816295
76	0.2657288586
77	0.2651248528
78	0.2648751385
79	0.2646107833
80	0.2640606468
81	0.263362796
82	0.2626813341
83	0.261909834
84	0.2611614489
85	0.2605877202
86	0.260192467
87	0.2593718266
88	0.2586446316
89	0.2581891332
90	0.2573758256
91	0.256964008
92	0.2564834533
93	0.2558054865
94	0.2552244184
95	0.2546503768
96	0.2540015472
97	0.2537982052
98	0.2532465492
99	0.2528506621
100	0.2525504871
101	0.2519722935
102	0.2515219599
103	0.2513428303
104	0.2509897216
105	0.2506859328
106	0.2505002699
107	0.2503251918
108	0.2496824995
109	0.2493788782
110	0.2489497115
111	0.2487245494
112	0.2485511653
113	0.2480978414
114	0.2478425953
115	0.2473731074
116	0.2469868187
117	0.2460715176
118	0.2459194381
119	0.2455292434
120	0.2443654354
121	0.2437247199
122	0.2432056481
123	0.2430534815
124	0.2427926224
125	0.2422442386
126	0.2416943969
127	0.2414447723
128	0.241311372
129	0.2408786713
130	0.2405716642
131	0.240168162
132	0.2398337119
133	0.2393759925
134	0.2390833534
135	0.2388636184
136	0.2384744732
137	0.2380858364
138	0.2376816017
139	0.2371505009
140	0.2369816073
141	0.2365559144
142	0.2361571146
143	0.2359694225
144	0.2357340903
145	0.2354610956
146	0.2348956546
147	0.2343592228
148	0.2341558879
149	0.2339987868
150	0.233824905
151	0.2335257225
152	0.2333008328
153	0.2329710661
154	0.2327511395
155	0.2326159611
156	0.2324655586
157	0.2323375491
158	0.2320025388
159	0.2316284745
160	0.2312352501
161	0.2306737647
162	0.2302752283
163	0.2298185848
164	0.2295993666
165	0.2292301371
166	0.2288589612
167	0.2283602357
168	0.2281094908
169	0.2277310041
170	0.2275448016
171	0.2273931086
172	0.2269209743
173	0.2264923336
174	0.226110544
175	0.2257337469
176	0.2254192583
177	0.2250651953
178	0.2249172882
179	0.2246443698
180	0.2245225919
181	0.22436725
182	0.224260938
183	0.2241468839
184	0.2239262494
185	0.2236115918
186	0.2232165597
187	0.223038329
188	0.222640283
189	0.2225571522
190	0.2222851298
191	0.2221404338
192	0.221883576
193	0.2217385344
194	0.2214150088
195	0.2212446568
196	0.2210953253
197	0.2208596317
198	0.2206260928
199	0.2203891922
200	0.2201347478
201	0.2194398489
202	0.2192822969
203	0.2190703733
204	0.2189416623
205	0.2187869911
206	0.2187018861
207	0.2184955722
208	0.2181661408
209	0.2179640499
210	0.2177370385
211	0.217641974
212	0.2174371169
213	0.2172225634
214	0.217012712
215	0.2169628681
216	0.2166801852
217	0.2164494864
218	0.2163284482
219	0.2161122416
220	0.2157680657
221	0.2153285271
222	0.2150855229
223	0.2148232847
224	0.2147329772
225	0.2146134585
226	0.2141823014
227	0.2139782049
228	0.2137853825
229	0.2136870085
230	0.2133366703
231	0.2130218062
232	0.2127651752
233	0.2125339071
234	0.2123436736
235	0.212206821
236	0.2121005387
237	0.2118782494
238	0.2116462846
239	0.2113550464
240	0.2112776268
241	0.2111212442
242	0.2109626616
243	0.2106753644
244	0.210410589
245	0.2101402059
246	0.2099268017
247	0.2096371938
248	0.209286875
249	0.2090234731
250	0.2087366763
251	0.2085822492
252	0.208349494
253	0.2082422298
254	0.2080848695
255	0.2077794247
256	0.2076160786
257	0.2074698348
258	0.2073529368
259	0.2070647151
260	0.2069351115
261	0.2067889743
262	0.2066225013
263	0.2064120689
264	0.2062785637
265	0.2060652311
266	0.2058168316
267	0.2054634798
268	0.2052405556
269	0.2050751827
270	0.2049241857
271	0.2046347183
272	0.2044209647
273	0.2042912957
274	0.2040855868
275	0.2038828599
276	0.2036715482
277	0.2034987594
278	0.2033547578
279	0.2032391707
280	0.202966113
281	0.202709915
282	0.2025706523
283	0.2023895037
284	0.202265042
285	0.2019879341
286	0.2018732033
287	0.2017759247
288	0.2015573019
289	0.2013643462
290	0.2011578871
291	0.2010353521
292	0.2009060299
293	0.2008236048
294	0.200577286
295	0.2003331314
296	0.2002170267
297	0.2000059784
298	0.199690067
299	0.1993904698
300	0.1992069933
301	0.1991075475
302	0.1988836264
303	0.1986376872
304	0.19853798
305	0.1982771627
306	0.1981755432
307	0.1980473428
308	0.1979231756
309	0.1977861007
310	0.1976134107
311	0.1974741128
312	0.1972846796
313	0.1971860038
314	0.1970977819
315	0.1969237168
316	0.1967167857
317	0.1965320425
318	0.1964087384
319	0.1962868612
320	0.1961032343
321	0.1959008971
322	0.1956914971
323	0.1954641029
324	0.1953023564
325	0.195039904
326	0.1948573322
327	0.1947062549
328	0.1946180606
329	0.1944756955
330	0.1943092627
331	0.1941762867
332	0.1940053751
333	0.1937851516
334	0.1934560337
335	0.1932835632
336	0.1931633228
337	0.1930070136
338	0.1928879232
339	0.1927110736
340	0.192590607
341	0.1923710436
342	0.1922665081
343	0.1921536203
344	0.1920169846
345	0.1917536486
346	0.1915790773
347	0.1914329469
348	0.1912304314
349	0.1910810846
350	0.1909821325
351	0.1908160869
352	0.1906822751
353	0.1905939963
354	0.1904570641
355	0.1903272829
356	0.1902244132
357	0.1900345592
358	0.1897451034
359	0.1896417507
360	0.1895363365
361	0.1894496345
362	0.1893018952
363	0.1892157333
364	0.1891527927
365	0.1890548344
366	0.1889521166
367	0.1888136727
368	0.1887033221
369	0.1885376644
370	0.1883476492
371	0.1881492584
372	0.1879695061
373	0.187783746
374	0.1875236711
375	0.1874373432
376	0.1873310731
377	0.1871475865
378	0.1870512549
379	0.186955993
380	0.1868552812
381	0.1866602597
382	0.1864619512
383	0.1862997097
384	0.185969188
385	0.1858110489
386	0.1856132787
387	0.1854367664
388	0.1852412995
389	0.1851173196
390	0.1849876833
391	0.1847472938
392	0.1845863856
393	0.1843530268
394	0.1841942238
395	0.1840765431
396	0.1839070728
397	0.183757968
398	0.1836535925
399	0.1835206827
400	0.1833792131
401	0.1830592741
402	0.1829642296
403	0.1828037183
404	0.1825623479
405	0.1823836402
406	0.1821928296
407	0.1819358897
408	0.1817391582
409	0.1815606279
410	0.1813401617
411	0.1810759237
412	0.1809773782
413	0.1807213049
414	0.1804641962
415	0.1802923111
416	0.1800689941
417	0.1797916238
418	0.1796227422
419	0.1794852821
420	0.1793820271
421	0.1792787229
422	0.1791417593
423	0.1789607049
424	0.178741182
425	0.1785317272
426	0.178363759
427	0.1783013779
